Бит 0, power_0=802.00, power_1=15.27, pos=245410
Бит 1, power_0=1.10, power_1=2283.98, pos=246180
Бит 1, power_0=0.35, power_1=1.66, pos=248600
Бит 1, power_0=12.75, power_1=52.79, pos=249150
Бит 1, power_0=1.33, power_1=6.47, pos=250250
Бит 0, power_0=649.84, power_1=14.90, pos=251900
Бит 0, power_0=624.73, power_1=11.71, pos=253330
Бит 0, power_0=572.56, power_1=15.36, pos=254760
Бит 1, power_0=2.41, power_1=9.16, pos=256850
Бит 1, power_0=2.05, power_1=8.06, pos=258170
Бит 0, power_0=456.84, power_1=13.55, pos=259820
Бит 1, power_0=1.12, power_1=5.06, pos=264660
Бит 1, power_0=0.87, power_1=4.19, pos=265320
Бит 1, power_0=0.28, power_1=1.41, pos=266090
Бит 1, power_0=6.43, power_1=411.78, pos=267740
Бит 1, power_0=6.35, power_1=391.02, pos=269170
Бит 1, power_0=4.66, power_1=1830.36, pos=269940
Бит 0, power_0=961.42, power_1=19.70, pos=271370
Бит 1, power_0=0.25, power_1=1.31, pos=272360
Бит 1, power_0=0.87, power_1=4.18, pos=273020
Бит 1, power_0=0.95, power_1=4.85, pos=274010
Бит 0, power_0=898.29, power_1=14.97, pos=275000
Бит 0, power_0=841.19, power_1=19.50, pos=276430
Бит 0, power_0=849.88, power_1=15.19, pos=277860
Бит 0, power_0=802.00, power_1=15.27, pos=279290
Бит 1, power_0=0.33, power_1=1.37, pos=280280
Бит 1, power_0=0.68, power_1=3.27, pos=280720
Бит 1, power_0=1.91, power_1=9.14, pos=281930
Бит 1, power_0=7.87, power_1=1167.63, pos=282920
Бит 1, power_0=6.44, power_1=1127.26, pos=284350
Бит 0, power_0=649.84, power_1=14.90, pos=285780
Бит 1, power_0=9.64, power_1=995.48, pos=287210
Бит 1, power_0=1.08, power_1=4.59, pos=288420
Бит 1, power_0=10.71, power_1=44.61, pos=289190
Бит 1, power_0=1.07, power_1=4.05, pos=289850
Бит 0, power_0=529.86, power_1=11.46, pos=290840
Бит 0, power_0=483.94, power_1=11.54, pos=292270
Бит 1, power_0=9.81, power_1=694.18, pos=293700
Бит 1, power_0=7.38, power_1=642.98, pos=295130
Бит 1, power_0=0.42, power_1=2.05, pos=296230
Бит 1, power_0=0.86, power_1=4.22, pos=296890
Бит 1, power_0=0.71, power_1=3.46, pos=297770
Бит 1, power_0=8.51, power_1=506.28, pos=298760
Бит 1, power_0=6.35, power_1=391.02, pos=303050
